oldindex,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,fall
0,,,,,,,0.0
1,0.3884892086330938,-0.6354916067146281,0.10311750599520408,-0.015974440894568703,0.1139510117145899,0.0340788072417466,0.0
2,0.49880095923261436,-0.4316546762589929,0.2613908872901676,-0.017039403620873195,0.10862619808306717,0.015974440894568703,0.0
3,0.5563549160671459,-0.44844124700239807,0.22062350119904073,-0.025559105431309903,0.10330138445154413,0.0095846645367412,0.0
4,0.5755395683453237,-0.3237410071942446,0.21103117505995206,-0.03301384451544198,0.0969116080937168,0.0,0.0
5,0.6714628297362109,-0.2925659472422062,0.4364508393285371,-0.03833865814696491,0.08306709265175716,-0.002129925452609205,0.0
6,0.7050359712230216,-0.014388489208633226,0.5971223021582737,-0.036208732694355705,0.06709265175718848,-0.0191693290734824,0.0
7,0.8944844124700241,0.09112709832134303,0.28776978417266186,-0.0340788072417465,0.04153354632587869,-0.015974440894568703,0.0
8,0.8752997601918464,0.25659472422062346,0.2781774580335734,-0.026624068157614478,0.018104366347177825,-0.022364217252396193,0.0
9,0.8153477218225421,0.2158273381294964,0.14868105515587504,-0.012779552715655007,-0.008519701810436708,-0.017039403620873195,0.0
10,0.42685851318944845,0.28776978417266197,-0.009592326139088891,-0.009584664536741228,-0.026624068157614422,-0.017039403620873306,0.0
11,0.31894484412470026,0.13908872901678648,-0.18944844124700233,0.0010649627263046302,-0.03940362087326943,-0.00638977635782749,0.0
12,-0.11031175059952036,0.1606714628297362,-0.11990407673860903,0.0063897763578275035,-0.04685835995740151,-0.01277955271565491,0.0
13,-0.3836930455635492,0.033573141486810565,-0.13908872901678682,0.012779552715654896,-0.04898828541001066,-0.007454739084132092,0.0
14,-0.4940047961630696,0.021582733812949617,-0.25659472422062324,0.017039403620873306,-0.056443024494142735,-0.010649627263045802,0.0
15,-0.34772182254196643,-0.0383693045563549,-0.2805755395683458,0.0191693290734824,-0.058572949946751884,-0.014909478168264101,0.0
16,-0.3764988009592326,-0.1534772182254196,-0.22541966426858462,0.020234291799787085,-0.07348242811501593,-0.0181043663471778,0.0
17,-0.2661870503597122,-0.0383693045563549,-0.2446043165467633,0.01810436634717777,-0.07774227902023428,-0.0223642172523961,0.0
18,-0.5515587529976019,0.10311750599520375,-0.3597122302158269,0.01597444089456873,-0.07454739084132062,-0.0255591054313099,0.0
19,-0.44364508393285385,-0.12230215827338131,-0.7553956834532372,0.017039403620873306,-0.06815761448349308,-0.024494142705005297,0.0
20,-0.8273381294964026,0.12230215827338131,-0.9472422062350123,0.017039403620873195,-0.051118210862619806,-0.0340788072417466,0.0
21,-0.8657074340527582,0.11990407673860914,-1.0215827338129495,0.01810436634717788,-0.026624068157614478,-0.025559105431309903,0.0
22,-0.6930455635491604,0.23021582733812956,-0.8848920863309351,0.01597444089456873,0.002129925452609177,-0.024494142705005315,0.0
23,-0.5347721822541969,0.3860911270983213,-0.8129496402877701,0.022364217252396068,0.0244941427050053,-0.014909478168264101,0.0
24,-0.8249400479616309,0.4316546762589928,-0.3405275779376504,0.02875399361022371,0.045793397231096905,-0.004259850905218382,0.0
25,-0.5731414868105515,0.10551558752997608,-0.04556354916067029,0.03301384451544201,0.04898828541001071,0.009584664536741283,0.0
26,-0.18465227817745777,0.14868105515587526,0.07913669064748241,0.0340788072417465,0.0447284345047923,0.00638977635782742,0.0
27,0.3717026378896886,0.11031175059952036,0.1247002398081527,0.036208732694355705,0.030883919062832776,0.01277955271565498,0.0
28,0.6043165467625897,0.04556354916067151,0.18705035971222994,0.03514376996805109,0.010649627263045802,0.010649627263045816,0.0
29,0.8393285371702639,-0.04556354916067151,-0.290167865707434,0.03620873269435569,-0.017039403620873195,0.017039403620873292,0.0
30,0.40047961630695417,0.2757793764988009,-0.16306954436450738,0.036208732694355705,-0.028753993610223683,0.010649627263045802,0.0
31,-0.028776978417266008,-0.0383693045563549,-0.7266187050359729,0.037273695420660204,-0.033013844515441926,0.0244941427050053,0.0
32,-0.3597122302158273,0.08153477218225413,-0.9304556354916063,0.0319488817891374,-0.012779552715655007,0.0170394036208733,0.0
33,-0.31175059952038353,-0.17505995203836922,-0.8920863309352534,0.029818956336528202,0.011714589989350432,0.025559105431309903,0.0
34,-0.5995203836930463,-0.033573141486810565,-1.0023980815347695,0.0244941427050053,0.027689030883918997,0.0127795527156549,0.0
35,-0.46282973621103096,-0.2709832134292566,-0.8585131894484412,0.028753993610223696,0.0447284345047923,0.0202342917997869,0.0
36,-0.275779376498801,-0.016786570743405282,-0.4868105515587544,0.02236421725239611,0.058572949946751884,0.0063897763578275,0.0
37,0.8465227817745804,-0.24460431654676262,-0.6954436450839321,0.01810436634717788,0.06070287539936109,0.013844515441959502,0.0
38,1.5155875299760195,-0.15347721822541968,-0.1294964028776988,0.014909478168264101,0.058572949946751884,0.011714589989350398,0.0
