cts,date,Gyroscope [rad/s],1,2,temperature [°C]
78.468,2024-03-16T10:09:50.905Z,0.08839190628328009,-0.15335463258785942,0.024494142705005325,7.064453125
83.49304000000001,2024-03-16T10:09:50.916Z,0.07454739084132056,-0.16080937167199147,0.006389776357827476,7.064453125
88.51808000000001,2024-03-16T10:09:50.927Z,0.058572949946751864,-0.16826411075612355,-0.014909478168264111,7.064453125
93.54312000000002,2024-03-16T10:09:50.938Z,0.039403620873269436,-0.1757188498402556,-0.03407880724174654,7.064453125
98.56816000000002,2024-03-16T10:09:50.950Z,0.01597444089456869,-0.1853035143769968,-0.055378061767838126,7.064453125
103.59320000000002,2024-03-16T10:09:50.961Z,-0.003194888178913738,-0.19382321618743345,-0.07135250266240682,7.064453125
108.61824000000003,2024-03-16T10:09:50.972Z,-0.025559105431309903,-0.20021299254526093,-0.08732694355697551,7.064453125
113.64328000000003,2024-03-16T10:09:50.983Z,-0.04579339723109691,-0.2066027689030884,-0.09584664536741214,7.064453125
118.66832000000004,2024-03-16T10:09:50.995Z,-0.06496272630457935,-0.21299254526091588,-0.10436634717784878,7.064453125
123.69336000000004,2024-03-16T10:09:51.006Z,-0.08200212992545261,-0.21405750798722045,-0.10756123535676251,7.064453125
128.71840000000003,2024-03-16T10:09:51.017Z,-0.09478168264110756,-0.2108626198083067,-0.11288604898828541,7.064453125
133.74344000000002,2024-03-16T10:09:51.029Z,-0.1033013844515442,-0.2055378061767838,-0.11501597444089456,7.064453125
138.76848,2024-03-16T10:09:51.040Z,-0.11075612353567625,-0.19382321618743345,-0.11501597444089456,7.064453125
143.79352,2024-03-16T10:09:51.051Z,-0.11501597444089456,-0.17465388711395102,-0.11288604898828541,7.064453125
148.81856,2024-03-16T10:09:51.062Z,-0.11927582534611289,-0.15122470713525027,-0.10756123535676251,7.064453125
153.84359999999998,2024-03-16T10:09:51.074Z,-0.12247071352502663,-0.12247071352502663,-0.09584664536741214,7.064453125
158.86863999999997,2024-03-16T10:09:51.085Z,-0.1288604898828541,-0.09052183173588925,-0.08413205537806177,7.064453125
163.89367999999996,2024-03-16T10:09:51.096Z,-0.1288604898828541,-0.06283280085197018,-0.0724174653887114,7.064453125
168.91871999999995,2024-03-16T10:09:51.107Z,-0.13312034078807242,-0.04153354632587859,-0.058572949946751864,7.064453125
173.94375999999994,2024-03-16T10:09:51.119Z,-0.13738019169329074,-0.025559105431309903,-0.04046858359957402,7.064453125
178.96879999999993,2024-03-16T10:09:51.130Z,-0.14057507987220447,-0.014909478168264111,-0.01703940362087327,7.064453125
183.99383999999992,2024-03-16T10:09:51.141Z,-0.14164004259850904,-0.014909478168264111,0.011714589989350373,7.064453125
189.0188799999999,2024-03-16T10:09:51.153Z,-0.13631522896698617,-0.023429179978700747,0.046858359957401494,7.064453125
194.0439199999999,2024-03-16T10:09:51.164Z,-0.1299254526091587,-0.03727369542066028,0.07987220447284345,7.064453125
199.0689599999999,2024-03-16T10:09:51.175Z,-0.12034078807241747,-0.055378061767838126,0.10756123535676251,7.064453125
204.09399999999988,2024-03-16T10:09:51.186Z,-0.10969116080937168,-0.07561235356762513,0.1288604898828541,7.064453125
209.11903999999987,2024-03-16T10:09:51.198Z,-0.09904153354632587,-0.09584664536741214,0.14376996805111822,7.064453125
214.14407999999986,2024-03-16T10:09:51.209Z,-0.08839190628328009,-0.12034078807241747,0.1554845580404686,7.064453125
219.16911999999985,2024-03-16T10:09:51.220Z,-0.0777422790202343,-0.14589989350372737,0.16826411075612355,7.064453125
224.19415999999984,2024-03-16T10:09:51.231Z,-0.07028753993610223,-0.1703940362087327,0.17891373801916932,7.064453125
229.21919999999983,2024-03-16T10:09:51.243Z,-0.06070287539936102,-0.1959531416400426,0.1853035143769968,7.064453125
234.24423999999982,2024-03-16T10:09:51.254Z,-0.054313099041533544,-0.2161874334398296,0.18956336528221512,7.064453125
239.2692799999998,2024-03-16T10:09:51.265Z,-0.04898828541001065,-0.23855165069222578,0.19488817891373802,7.064453125
244.2943199999998,2024-03-16T10:09:51.277Z,-0.04472843450479233,-0.25878594249201275,0.20234291799787008,7.064453125
249.3193599999998,2024-03-16T10:09:51.288Z,-0.038338658146964855,-0.2779552715654952,0.20766773162939298,7.064453125
254.34439999999978,2024-03-16T10:09:51.299Z,-0.03727369542066028,-0.29605963791267303,0.22257720979765708,7.064453125
259.36943999999977,2024-03-16T10:09:51.310Z,-0.03194888178913738,-0.3141640042598509,0.24068157614483493,7.064453125
264.39447999999976,2024-03-16T10:09:51.322Z,-0.024494142705005325,-0.33226837060702874,0.2566560170394036,7.064453125
269.41951999999975,2024-03-16T10:09:51.333Z,-0.019169329073482427,-0.34611288604898827,0.268370607028754,7.064453125
274.44455999999974,2024-03-16T10:09:51.344Z,-0.014909478168264111,-0.35356762513312034,0.27582534611288606,7.064453125
279.46959999999973,2024-03-16T10:09:51.355Z,-0.009584664536741214,-0.3588924387646432,0.2779552715654952,7.064453125
284.4946399999997,2024-03-16T10:09:51.367Z,-0.004259850905218318,-0.3652822151224707,0.2790202342917998,7.064453125
289.5196799999997,2024-03-16T10:09:51.378Z,-0.004259850905218318,-0.3706070287539936,0.2790202342917998,7.064453125
294.5447199999997,2024-03-16T10:09:51.389Z,-0.002129925452609159,-0.37486687965921195,0.2747603833865815,7.064453125
299.5697599999997,2024-03-16T10:09:51.401Z,0.0010649627263045794,-0.3801916932907348,0.26624068157614483,7.064453125
304.5947999999997,2024-03-16T10:09:51.412Z,0.003194888178913738,-0.3887113951011715,0.25559105431309903,7.064453125
