cts,date,Accelerometer [m/s2],acc1,acc2,temperature [°C]
78.468,2024-03-16T10:09:50.905Z,8.961630695443645,-2.1270983213429258,4.553956834532374,7.064453125
83.49304000000001,2024-03-16T10:09:50.916Z,8.92326139088729,-2.1774580335731413,4.479616306954436,7.064453125
88.51808000000001,2024-03-16T10:09:50.927Z,8.865707434052759,-2.1918465227817747,4.41726618705036,7.064453125
93.54312000000002,2024-03-16T10:09:50.938Z,8.851318944844124,-2.2014388489208634,4.350119904076738,7.064453125
98.56816000000002,2024-03-16T10:09:50.950Z,8.848920863309353,-2.1654676258992804,4.304556354916067,7.064453125
103.59320000000002,2024-03-16T10:09:50.961Z,8.772182254196643,-2.026378896882494,4.247002398081535,7.064453125
108.61824000000003,2024-03-16T10:09:50.972Z,8.62589928057554,-1.8872901678657075,4.15347721822542,7.064453125
113.64328000000003,2024-03-16T10:09:50.983Z,8.577937649880097,-1.7290167865707433,4.026378896882494,7.064453125
118.66832000000004,2024-03-16T10:09:50.995Z,8.597122302158274,-1.6139088729016786,3.947242206235012,7.064453125
123.69336000000004,2024-03-16T10:09:51.006Z,8.585131894484412,-1.501199040767386,3.7961630695443644,7.064453125
128.71840000000003,2024-03-16T10:09:51.017Z,8.400479616306955,-1.316546762589928,3.6906474820143886,7.064453125
133.74344000000002,2024-03-16T10:09:51.029Z,8.18705035971223,-1.1127098321342925,3.568345323741007,7.064453125
138.76848,2024-03-16T10:09:51.040Z,8.052757793764988,-0.9688249400479616,3.41726618705036,7.064453125
143.79352,2024-03-16T10:09:51.051Z,7.908872901678657,-0.8249400479616307,3.292565947242206,7.064453125
148.81856,2024-03-16T10:09:51.062Z,7.733812949640288,-0.6954436450839329,3.1870503597122304,7.064453125
153.84359999999998,2024-03-16T10:09:51.074Z,7.6378896882494,-0.6522781774580336,3.1414868105515588,7.064453125
158.86863999999997,2024-03-16T10:09:51.085Z,7.64748201438849,-0.5899280575539568,3.196642685851319,7.064453125
163.89367999999996,2024-03-16T10:09:51.096Z,7.693045563549161,-0.5563549160671463,3.3309352517985613,7.064453125
168.91871999999995,2024-03-16T10:09:51.107Z,7.712230215827338,-0.4412470023980815,3.539568345323741,7.064453125
173.94375999999994,2024-03-16T10:09:51.119Z,7.796163069544365,-0.30935251798561153,3.7553956834532376,7.064453125
178.96879999999993,2024-03-16T10:09:51.130Z,7.856115107913669,-0.21103117505995203,3.973621103117506,7.064453125
183.99383999999992,2024-03-16T10:09:51.141Z,7.84652278177458,-0.045563549160671464,4.182254196642686,7.064453125
