cts,date,Accelerometer [m/s2],1,2,temperature [°C]
78.447,2024-03-16T13:13:36.700Z,5.3261390887290165,0.46522781774580335,5.045563549160671,10.68359375
83.4724336734694,2024-03-16T13:13:36.711Z,4.729016786570743,0.5899280575539568,5.410071942446043,10.68359375
88.49786734693879,2024-03-16T13:13:36.723Z,4.002398081534772,0.6019184652278178,5.733812949640288,10.68359375
93.52330102040818,2024-03-16T13:13:36.734Z,3.551558752997602,0.5491606714628298,5.772182254196642,10.68359375
98.54873469387758,2024-03-16T13:13:36.746Z,3.537170263788969,0.5611510791366906,5.386091127098322,10.68359375
103.57416836734697,2024-03-16T13:13:36.757Z,3.853717026378897,0.3381294964028777,4.836930455635492,10.68359375
108.59960204081636,2024-03-16T13:13:36.769Z,3.894484412470024,0.2014388489208633,4.570743405275779,10.68359375
113.62503571428576,2024-03-16T13:13:36.780Z,3.760191846522782,-0.06474820143884892,4.448441247002398,10.68359375
118.65046938775515,2024-03-16T13:13:36.792Z,3.1774580335731413,-0.1366906474820144,4.410071942446043,10.68359375
123.67590306122455,2024-03-16T13:13:36.803Z,2.565947242206235,-0.30935251798561153,4.184652278177458,10.68359375
128.70133673469394,2024-03-16T13:13:36.815Z,1.9640287769784173,-0.2038369304556355,3.9664268585131897,10.68359375
133.72677040816333,2024-03-16T13:13:36.826Z,1.6402877697841727,-0.22302158273381295,3.633093525179856,10.68359375
138.75220408163273,2024-03-16T13:13:36.838Z,1.6354916067146283,-0.014388489208633094,3.2565947242206237,10.68359375
143.77763775510212,2024-03-16T13:13:36.849Z,2.1414868105515588,0.08872901678657075,2.824940047961631,10.68359375
148.8030714285715,2024-03-16T13:13:36.861Z,3.20863309352518,0.302158273381295,2.3141486810551557,10.68359375
153.8285051020409,2024-03-16T13:13:36.872Z,4.90167865707434,0.34292565947242204,1.976019184652278,10.68359375
158.8539387755103,2024-03-16T13:13:36.884Z,6.96642685851319,0.37889688249400477,1.6402877697841727,10.68359375
163.8793724489797,2024-03-16T13:13:36.895Z,8.832134292565947,0.3597122302158273,1.4172661870503598,10.68359375
168.9048061224491,2024-03-16T13:13:36.907Z,10.191846522781775,0.11031175059952038,1.3717026378896882,10.68359375
173.93023979591848,2024-03-16T13:13:36.918Z,12.143884892086332,-0.19664268585131894,1.0695443645083933,10.68359375
178.95567346938788,2024-03-16T13:13:36.930Z,16.13429256594724,-0.5443645083932853,0.23261390887290168,10.68359375
183.98110714285727,2024-03-16T13:13:36.941Z,21.85611510791367,-0.9664268585131894,-1.2733812949640289,10.68359375
189.00654081632666,2024-03-16T13:13:36.953Z,27.299760191846524,-1.3429256594724222,-2.762589928057554,10.68359375
194.03197448979606,2024-03-16T13:13:36.964Z,29.860911270983213,-1.7434052757793765,-3.3788968824940047,10.68359375
199.05740816326545,2024-03-16T13:13:36.976Z,25.697841726618705,-2.050359712230216,-2.436450839328537,10.68359375
204.08284183673484,2024-03-16T13:13:36.987Z,16.53956834532374,-2.1079136690647484,-0.6810551558752997,10.68359375
209.10827551020424,2024-03-16T13:13:36.999Z,10.49400479616307,-2.172661870503597,0.18944844124700239,10.68359375
214.13370918367363,2024-03-16T13:13:37.010Z,8.458033573141487,-2.1558752997601918,0.920863309352518,10.68359375
219.15914285714302,2024-03-16T13:13:37.022Z,8.470023980815348,-2.1103117505995206,1.2517985611510791,10.68359375
224.18457653061242,2024-03-16T13:13:37.033Z,9.652278177458033,-1.947242206235012,1.0935251798561152,10.68359375
229.2100102040818,2024-03-16T13:13:37.045Z,11.400479616306955,-1.8633093525179856,0.7649880095923262,10.68359375
234.2354438775512,2024-03-16T13:13:37.056Z,12.278177458033573,-1.9256594724220624,0.2158273381294964,10.68359375
239.2608775510206,2024-03-16T13:13:37.068Z,12.038369304556355,-2.091127098321343,-0.5323741007194245,10.68359375
244.28631122449,2024-03-16T13:13:37.079Z,10.32853717026379,-2.326139088729017,-1.8105515587529977,10.68359375
249.3117448979594,2024-03-16T13:13:37.091Z,6.661870503597123,-2.484412470023981,-2.7290167865707433,10.68359375
254.33717857142878,2024-03-16T13:13:37.102Z,2.460431654676259,-2.8081534772182253,-3.2062350119904077,10.68359375
259.3626122448982,2024-03-16T13:13:37.114Z,-1.9928057553956835,-3.223021582733813,-2.8369304556354917,10.68359375
264.38804591836754,2024-03-16T13:13:37.125Z,-5.213429256594724,-3.5731414868105515,-1.9976019184652278,10.68359375
269.4134795918369,2024-03-16T13:13:37.137Z,-7.836930455635492,-3.5035971223021583,0.5731414868105515,10.68359375
274.43891326530627,2024-03-16T13:13:37.148Z,-10.117505995203837,-3.6091127098321345,4.551558752997602,10.68359375
279.46434693877563,2024-03-16T13:13:37.160Z,-11.609112709832134,-3.225419664268585,9.09832134292566,10.68359375
284.489780612245,2024-03-16T13:13:37.171Z,-2.321342925659472,-2.9136690647482015,14.767386091127099,10.68359375
289.51521428571436,2024-03-16T13:13:37.183Z,-3.5035971223021583,-2.1103117505995206,16.863309352517987,10.68359375
294.54064795918373,2024-03-16T13:13:37.194Z,4.093525179856115,-0.35251798561151076,18.67386091127098,10.68359375
299.5660816326531,2024-03-16T13:13:37.206Z,13.160671462829736,-0.8201438848920863,16.875299760191847,10.68359375
304.59151530612246,2024-03-16T13:13:37.217Z,20.834532374100718,0.2853717026378897,22.34292565947242,10.68359375
309.6169489795918,2024-03-16T13:13:37.229Z,28.45803357314149,1.8752997601918466,24.64748201438849,10.68359375
314.6423826530612,2024-03-16T13:13:37.240Z,33.04796163069545,4.179856115107913,25.05275779376499,10.68359375
